,type,position,item_type,item_additionalType,item_brand_type,item_brand_name,item_model,item_bodyType,item_fuelType,item_seatingCapacity,item_color,item_name,item_mainEntityOfPage,item_url,item_image,item_description,item_offers_type,item_offers_price,item_offers_priceCurrency,item_offers_itemCondition,item_offers_seller_type,item_offers_seller_homeLocation_type,item_offers_seller_homeLocation_address_type,item_offers_seller_homeLocation_address_addressLocality,item_offers_seller_homeLocation_address_addressRegion,item_offers_seller_url
1,ListItem,1,Car,Product,Thing,BMW,323i,Sedan,Petrol - Unleaded (ULP),5,Silver,2009 BMW 323i 2.5 Sedan (CASH ONLY),https://www.carlist.my/used-cars/2009-bmw-323i-2-5-sedan-cash-only/9382076,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9382076,['https://img1.icarcdn.com/6702839/thumb-l_used-car-carlist-bmw-3-series-323i-sedan-malaysia_edaa9f715dbdabeb42d4559e7ba34e42_b4d3de32_f3a9_4a57_a82d_cfdea33dadc9_000006702839_b06a41e3_7d4b_4117_95db_9f8e28feb059.jpeg.webp?smia=xTM'],"馃殫 welcome to 65 auto car holdings sdn bhd 馃殨  馃搷 3, jalan 6/2b, taman industri ...",Offer,36700,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Seri Kembangan,Selangor,https://www.carlist.my/dealer/65autocarholdings1
2,ListItem,1,Car,Product,Thing,BMW,X5,SUV,Hybrid,5,Blue,2020 BMW X5 3.0 xDrive45e M Sport,https://www.carlist.my/used-cars/2020-bmw-x5-3-0-xdrive45e-m-sport/9516836,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9516836,"['https://img1.icarcdn.com/6386159/thumb-l_used-car-carlist-bmw-x-x5-xdrive45e-m-sport-suv-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000006386159_d328810d_4f9d_4e94_a14b_398b49db64f6.jpeg.webp?smia=xTM', 'https://img1.icarcdn.com/6386159/thumb-l_used-car-carlist-bmw-x-x5-xdrive45e-m-sport-suv-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000006386159_e7cdc107_491a_4b24_88f9_ef864fa7a7d2.jpeg.webp?smia=xTM', 'https://img1.icarcdn.com/6386159/thumb-l_used-car-carlist-bmw-x-x5-xdrive45e-m-sport-suv-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000006386159_eb9c4b9b_9681_4247_8fd3_97e14dbc15fc.jpeg.webp?smia=xTM', 'https://img1.icarcdn.com/6386159/thumb-l_used-car-carlist-bmw-x-x5-xdrive45e-m-sport-suv-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000006386159_7620bb38_bb2b_4471_8237_eb78776333d9.jpeg.webp?smia=xTM']",Sime darby premium selection approved used car 馃殫   full service under auto ...,Offer,385800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Sungai Besi,Kuala Lumpur,https://www.carlist.my/dealer/bmwkl4
3,ListItem,2,Car,Product,Thing,BMW,Z4,Convertible,Petrol - Unleaded (ULP),2,White,"2019 BMW Z4 2.0 sDrive30i M Sport Convertible ( 2020 Registered , Longer Warranty )",https://www.carlist.my/used-cars/2019-bmw-z4-2-0-sdrive30i-m-sport-convertible-2020-registered-longer-warranty/9372522,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9372522,"['https://img1.icarcdn.com/2252739/thumb-l_used-car-carlist-bmw-z-z4-sdrive30i-m-sport-convertible-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000002252739_5f1bc0ea_7ddb_4e08_b06c_944d1cf1cf85.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/2252739/thumb-l_used-car-carlist-bmw-z-z4-sdrive30i-m-sport-convertible-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000002252739_069bd4c4_9899_4a34_9539_dba70c797a74.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/2252739/thumb-l_used-car-carlist-bmw-z-z4-sdrive30i-m-sport-convertible-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000002252739_abd080cc_c3db_4d3d_a51c_f609dc7b9895.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/2252739/thumb-l_used-car-carlist-bmw-z-z4-sdrive30i-m-sport-convertible-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000002252739_ed436e82_7ee3_4dbf_b45a_b187528ccb64.jpg.webp?smia=xTM']","The biggest bmw authorized dealer bring you hassle free buying experience , a ...",Offer,340800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Chan Sow Lin,Kuala Lumpur,https://www.carlist.my/dealer/bmwkl4
4,ListItem,3,Car,Product,Thing,BMW,320d,Sedan,Diesel,5,Blue,2014 BMW 320d 2.0 M Sport Sedan,https://www.carlist.my/used-cars/2014-bmw-320d-2-0-m-sport-sedan/9363240,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9363240,['https://img1.icarcdn.com/0423639/thumb-l_used-car-carlist-bmw-3-series-320d-m-sport-sedan-malaysia_000000423639_86183cdc_51ee_48ce_a469_5d744d927af1.jpeg.webp?smia=xTM'],"Im a lady car owner, non smoker, less drive, dont have any hidden charges ...",Offer,122000,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Seri Kembangan,Selangor,
5,ListItem,4,Car,Product,Thing,BMW,X3,SUV,Petrol - Unleaded (ULP),5,Blue,2021 BMW X3  ,https://www.carlist.my/used-cars/2021-bmw-x3/9360764?bmw=true,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9360764,"['https://img1.icarcdn.com/4670639/thumb-l_used-car-carlist-bmw-x-x3-xdrive30i-m-sport-suv-malaysia_000004670639_4c5c5ad3_86be_4ec8_b1d6_f4f667d94648.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/4670639/thumb-l_used-car-carlist-bmw-x-x3-xdrive30i-m-sport-suv-malaysia_000004670639_ae46c2f1_76e4_459f_9068_4a6312afb82f.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/4670639/thumb-l_used-car-carlist-bmw-x-x3-xdrive30i-m-sport-suv-malaysia_000004670639_41ce9c2f_b414_4dae_bb1b_3a495de24bf3.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/4670639/thumb-l_used-car-carlist-bmw-x-x3-xdrive30i-m-sport-suv-malaysia_000004670639_1595581a_bdac_4c57_af19_441f8f26e157.jpg.webp?smia=xTM']",G01 wagon 5dr xdrive30i m sport steptronic 8sp awd 2.0ditsc,Offer,290800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Kuantan,Pahang,https://www.carlist.my/dealer/adba7190-4f24-44c7-bc48-05e2b67fc2b8
6,ListItem,5,Car,Product,Thing,BMW,328i,Sedan,Petrol - Unleaded (ULP),5,White,2013 BMW 328i 2.0 M Sport/TIPTOP CON / Free Service + Free Warranty,https://www.carlist.my/used-cars/2013-bmw-328i-2-0-m-sport-tiptop-con-free-service-free-warranty/9048226,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9048226,"['https://img1.icarcdn.com/6228409/thumb-l_used-car-carlist-bmw-3-series-328i-m-sport-sedan-malaysia_000006228409_2a661052_16bb_42ef_82f9_721b5986f051.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/6228409/thumb-l_used-car-carlist-bmw-3-series-328i-m-sport-sedan-malaysia_000006228409_b408e0cd_a75a_4deb_8dc2_299cba7606a7.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/6228409/thumb-l_used-car-carlist-bmw-3-series-328i-m-sport-sedan-malaysia_000006228409_11c32870_b233_4fe6_a0c3_cfd78de55f6e.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/6228409/thumb-l_used-car-carlist-bmw-3-series-328i-m-sport-sedan-malaysia_000006228409_d40bb2ee_f786_4457_9f59_9ba91986aacb.jpg.webp?smia=xTM']",Salam sejahtera & salam 1 malaysia 馃嚥馃嚲    * we are trusted platinum dealer in ...,Offer,113888,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Sri Petaling,Kuala Lumpur,https://www.carlist.my/dealer/bscmotor888
7,ListItem,6,Car,Product,Thing,BMW,328i,Sedan,Petrol - Unleaded (ULP),5,White,2013 BMW 328i 2.0 M Sport 1DOCTOR OWNER LOW MILE FREE 3Yrs WARRANTY,https://www.carlist.my/used-cars/2013-bmw-328i-2-0-m-sport-1doctor-owner-low-mile-free-3yrs-warranty/8946364,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_8946364,"['https://img1.icarcdn.com/4636498/thumb-l_used-car-carlist-bmw-3-series-328i-m-sport-sedan-malaysia_000004636498_7c850625_e59f_4165_9acb_c33edcc328f3.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/4636498/thumb-l_used-car-carlist-bmw-3-series-328i-m-sport-sedan-malaysia_000004636498_df593306_1ecb_4111_910d_e94d20653c3a.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/4636498/thumb-l_used-car-carlist-bmw-3-series-328i-m-sport-sedan-malaysia_000004636498_052c4bee_b0b5_480c_a5eb_e175807a63a4.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/4636498/thumb-l_used-car-carlist-bmw-3-series-328i-m-sport-sedan-malaysia_000004636498_0962eaee_7c39_49ab_8fac_e5717bb0f691.jpg.webp?smia=xTM']",Clear stock!!! clear stock!!! clear stock!!!    habiskan stock end years ...,Offer,108800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Sri Petaling,Kuala Lumpur,https://www.carlist.my/dealer/bscmotor8888
8,ListItem,7,Car,Product,Thing,BMW,330e,Sedan,Hybrid,5,Black,2018 BMW 330e 2.0 M Sport Sedan,https://www.carlist.my/used-cars/2018-bmw-330e-2-0-m-sport-sedan/8670933?bmw=true,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_8670933,"['https://img1.icarcdn.com/3390768/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_932257762d1594e8ef44d37bb19856c4_c5c1749b_128e_49e3_ab2a_f10447be4210_000003390768_d405a0dc_3941_4a72_bfe0_36d24efd6375.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/3390768/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_932257762d1594e8ef44d37bb19856c4_c5c1749b_128e_49e3_ab2a_f10447be4210_000003390768_5ead2beb_52c1_47fa_9d5f_a9d0f0b3f684.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/3390768/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_932257762d1594e8ef44d37bb19856c4_c5c1749b_128e_49e3_ab2a_f10447be4210_000003390768_b23cb6fc_8b74_4a63_998c_d257b825fbe2.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/3390768/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_932257762d1594e8ef44d37bb19856c4_c5c1749b_128e_49e3_ab2a_f10447be4210_000003390768_d2fb67c1_1c3e_4243_81b7_61f9b47ef313.jpg.webp?smia=xTM']",We are delighted to introduce this f30 - bmw 330e m sport in black sapphire ...,Offer,140800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Petaling Jaya,Selangor,https://www.carlist.my/dealer/4c65891b-b73d-44fe-8e49-51d267752239
9,ListItem,8,Car,Product,Thing,BMW,320i,Sedan,Petrol - Unleaded (ULP),5,Orange,2020 BMW 320i  ,https://www.carlist.my/used-cars/2020-bmw-320i/9526362?bmw=true,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9526362,"['https://img1.icarcdn.com/2636259/thumb-l_used-car-carlist-bmw-3-series-320i-sport-driving-assist-pack-sedan-malaysia_000002636259_61f51458_0292_46ee_bbc0_ccc661681bc9.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/2636259/thumb-l_used-car-carlist-bmw-3-series-320i-sport-driving-assist-pack-sedan-malaysia_000002636259_06090bae_83bd_4b30_aca7_1d90ca7517a4.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/2636259/thumb-l_used-car-carlist-bmw-3-series-320i-sport-driving-assist-pack-sedan-malaysia_000002636259_d9630378_2102_437d_8ee4_465f6fb2c77b.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/2636259/thumb-l_used-car-carlist-bmw-3-series-320i-sport-driving-assist-pack-sedan-malaysia_000002636259_88f69be7_53b5_4558_9a60_d6a042472419.jpg.webp?smia=xTM']",G20 sedan 4dr sport sa 8sp rwd 2.0ditsc (driving assist pack),Offer,228800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Shah Alam,Selangor,https://www.carlist.my/dealer/817e7f6b-e052-4bb2-9f2e-331e5d39975a
10,ListItem,9,Car,Product,Thing,BMW,320i,Sedan,Petrol - Unleaded (ULP),5,Orange,2020 BMW 320i  ,https://www.carlist.my/used-cars/2020-bmw-320i/9526216?bmw=true,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9526216,"['https://img1.icarcdn.com/6126259/thumb-l_used-car-carlist-bmw-3-series-320i-sport-driving-assist-pack-sedan-malaysia_000006126259_2ea7e4eb_e1a6_4bc6_9fda_f83fd01e2f83.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/6126259/thumb-l_used-car-carlist-bmw-3-series-320i-sport-driving-assist-pack-sedan-malaysia_000006126259_04a418ef_bb1e_4eb0_852f_72c2156d8ee6.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/6126259/thumb-l_used-car-carlist-bmw-3-series-320i-sport-driving-assist-pack-sedan-malaysia_000006126259_8fb6f99c_2242_4b7c_907b_afc79d564634.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/6126259/thumb-l_used-car-carlist-bmw-3-series-320i-sport-driving-assist-pack-sedan-malaysia_000006126259_b34db87a_38e1_47c5_aa5c_469ce6b06a0c.jpg.webp?smia=xTM']",G20 sedan 4dr sport sa 8sp rwd 2.0ditsc (driving assist pack),Offer,228800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Shah Alam,Selangor,https://www.carlist.my/dealer/817e7f6b-e052-4bb2-9f2e-331e5d39975a
